DESCRIPCIÓN PRINCIPIO ACTIV,PRESENTACION,Fabricante,PRECIO MÁXIMO DE VENTA TRANSACCIÓN FINAL COMERCIAL
MOXIFLOXACIN,SOLIDO,MK,NO REGULADO
MOXIFLOXACIN,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
MOXIFLOXACIN,SOLIDO,NOVAMED,NO REGULADO
MOXIFLOXACIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
MOXIFLOXACIN,SOLIDO,GENFAR,NO REGULADO
MOXIFLOXACIN,SOLIDO,LA SANTE,NO REGULADO
MOXIFLOXACIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MOXIFLOXACIN,SOLIDO,LAFRANCOL,NO REGULADO
MOXIFLOXACIN,SOLIDO,BAYER,NO REGULADO
FLUTAMID,SOLIDO,ASOFARMA,NO REGULADO
FLUTAMID,SOLIDO,BLAU,NO REGULADO
FINGOLIMO,SOLIDO,VESALIUS PHARMA,NO REGULADO
FINGOLIMO,SOLIDO,GENBIE,NO REGULADO
FINGOLIMO,SOLIDO,BIOSPIFAR,NO REGULADO
FINGOLIMO,SOLIDO,MEGALABS,NO REGULADO
FINGOLIMO,SOLIDO,RICHMOND,NO REGULADO
FINGOLIMO,SOLIDO,PROCAPS,NO REGULADO
FINGOLIMO,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
FINGOLIMO,SOLIDO,LEGRAND,NO REGULADO
FINGOLIMO,SOLIDO,ASOFARMA,NO REGULADO
FINGOLIMO,SOLIDO,NOVARTIS,NO REGULADO
EZETIMIB,SOLIDO,HETERO,NO REGULADO
EZETIMIB,SOLIDO,SIEGFRIED,NO REGULADO
EZETIMIB,SOLIDO,SANOFI AVENTIS,NO REGULADO
ETONOGESTRE,LIQUIDO/SOLIDO,ORGANON,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,PROFAMILIA,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,BCN MEDICAL,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,SIEGFRIED,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,GEDEON RICHTER,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,EUROFARMA,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,EXELTIS,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,PROCAPS,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,CHALVER,NO REGULADO
DOLUTEGRAVI,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
DIENOGEST Y ESTROGEN,SOLIDO,GEDEON RICHTER,NO REGULADO
DIENOGEST Y ESTROGEN,SOLIDO,BCN MEDICAL,NO REGULADO
DIENOGEST Y ESTROGEN,SOLIDO,EXELTIS,NO REGULADO
DIENOGEST Y ESTROGEN,SOLIDO,ANDROMACO,NO REGULADO
DIENOGEST Y ESTROGEN,SOLIDO,PROCAPS,NO REGULADO
DIENOGEST Y ESTROGEN,SOLIDO,GRUNENTHAL,NO REGULADO
DIACEREIN,SOLIDO,PROCAPS,NO REGULADO
DIACEREIN,SOLIDO,BALANCE,NO REGULADO
DIACEREIN,SOLIDO,BECHEMICAL,NO REGULADO
DIACEREIN,SOLIDO,GENFAR,NO REGULADO
DIACEREIN,SOLIDO,NEVOX,NO REGULADO
DIACEREIN,SOLIDO,CI FARMACAPSULAS,NO REGULADO
DIACEREIN,SOLIDO,NOVAMED,NO REGULADO
DARATUMUMA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
BISOPROLO,SOLIDO,SANDOZ,NO REGULADO
BISOPROLO,SOLIDO,IPCA,NO REGULADO
BISOPROLO,SOLIDO,SIEGFRIED,NO REGULADO
BISOPROLO,SOLIDO,GENFAR,NO REGULADO
BISOPROLO,SOLIDO,MK,NO REGULADO
ATAZANAVI,SOLIDO,THE LABS,NO REGULADO
ATAZANAVI,SOLIDO,CIPLA,NO REGULADO
ATAZANAVI,SOLIDO,VANTAGE GLOBAL,NO REGULADO
ATAZANAVI,SOLIDO,SALUSPHARMA,NO REGULADO
ATAZANAVI,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
ATAZANAVI,SOLIDO,LEGRAND,NO REGULADO
ATAZANAVI,SOLIDO,HUMAX,NO REGULADO
ATAZANAVI,SOLIDO,MATPRIFAR,NO REGULADO
ATAZANAVI,SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
ACICLOVI,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
ACICLOVI,LIQUIDO/SOLIDO,GRUNENTHAL,NO REGULADO
ACICLOVI,LIQUIDO/SOLIDO,PISA,NO REGULADO
ACICLOVI,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,GEDEON RICHTER,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,BCN MEDICAL,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,EXELTIS,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,PROFAMILIA,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,VITALIS,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,GIMED,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,NOVAMED,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,MYLAN,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,AVALON,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,TECNOQUIMICAS,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,CIPLA,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (TSH,SOLIDO,LAFRANCOL,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (TSH,SOLIDO,PROCAPS,NO REGULADO
GANCICLOVI,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
GANCICLOVI,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
GANCICLOVI,LIQUIDO/SOLIDO,PISA,NO REGULADO
ACIDO GADOXETIC,LIQUIDO/SOLIDO,BAYER,NO REGULADO
AGALSIDASA ALF,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
APOMORFIN,LIQUIDO/SOLIDO,AGUETTANT,NO REGULADO
APOMORFIN,LIQUIDO/SOLIDO,EVER NEURO PHARMA,NO REGULADO
ASPARAGINAS,LIQUIDO/SOLIDO,EUSAPHARMA,NO REGULADO
ASPARAGINAS,LIQUIDO/SOLIDO,MEDAC,NO REGULADO
BEPOTASTIN,LIQUIDO,SYNTHESIS,NO REGULADO
BEPOTASTIN,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
BOSUTINI,SOLIDO,PFIZER,NO REGULADO
BROMFENAC,LIQUIDO,SOPHIA,NO REGULADO
BROMFENAC,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
BROMURO DE ACLIDINI,SOLIDO,ASTRAZENECA,NO REGULADO
BROMURO DE UMECLIDINI,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
BUDESONIDA Y FORMOTERO,LIQUIDO,CIPLA,NO REGULADO
BUDESONIDA Y FORMOTERO,LIQUIDO,GLENMARK,NO REGULADO
BUDESONIDA Y FORMOTERO,LIQUIDO,CHALVER,NO REGULADO
BUDESONIDA Y FORMOTERO,SOLIDO,EXELTIS,NO REGULADO
BUSULFA,SOLIDO,ASPEN,NO REGULADO
CARBETOCIN,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
CEFTOLOZANO E INHIBIDOR DE BETALACTAMAS,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
CEFUROXIM,LIQUIDO/SOLIDO,NORSTRAY Y NUART,NO REGULADO
CEFUROXIM,LIQUIDO/SOLIDO,NECTAR LIFESCIENCES,NO REGULADO
CEFUROXIM,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
CEFUROXIM,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
CELECOXI,SOLIDO,GIMED,NO REGULADO
CELECOXI,SOLIDO,MOMENTA,NO REGULADO
CELECOXI,SOLIDO,SANOFI AVENTIS,NO REGULADO
CELECOXI,SOLIDO,HETERO,NO REGULADO
CELECOXI,SOLIDO,FARMACOOP,NO REGULADO
CELECOXI,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
CELECOXI,SOLIDO,PATMAR,NO REGULADO
CELECOXI,SOLIDO,ANZG,NO REGULADO
CELECOXI,SOLIDO,COMERFAR,NO REGULADO
CELECOXI,SOLIDO,LA SANTE,NO REGULADO
CELECOXI,SOLIDO,BUSSIÉ,NO REGULADO
CELECOXI,SOLIDO,GENFAR,NO REGULADO
CELECOXI,SOLIDO,TECNOQUIMICAS,NO REGULADO
CIPROTERON,SOLIDO,CIPLA,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,EUROFARMA,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,EXELTIS,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,BCN MEDICAL,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,MYLAN,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,PROCAPS,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,CHALVER,NO REGULADO
CISATRACURI,LIQUIDO/SOLIDO,HUMAX,NO REGULADO
CISATRACURI,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
CISATRACURI,LIQUIDO/SOLIDO,LABORATORIO REIG JOFRE,NO REGULADO
CISATRACURI,LIQUIDO/SOLIDO,HAMELN,NO REGULADO
CISATRACURI,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
CISATRACURI,LIQUIDO/SOLIDO,ADS PHARMA,NO REGULADO
CISATRACURI,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
CITARABIN,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
CITARABIN,LIQUIDO/SOLIDO,LKM,NO REGULADO
CITARABIN,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
CITARABIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
CITARABIN,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
CITARABIN,LIQUIDO/SOLIDO,PISA,NO REGULADO
CLORMADINONA Y ETINILESTRADIO,SOLIDO,BCN MEDICAL,NO REGULADO
CLORMADINONA Y ETINILESTRADIO,SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
CLORMADINONA Y ETINILESTRADIO,SOLIDO,LAFRANCOL,NO REGULADO
CLORMADINONA Y ETINILESTRADIO,SOLIDO,EXELTIS,NO REGULADO
COLAGENAS,SEMISOLIDO,LAFRANCOL,NO REGULADO
CICLESONID,LIQUIDO,SYNTHESIS,NO REGULADO
DESOGESTRE,SOLIDO,GEDEON RICHTER,NO REGULADO
DESOGESTRE,SOLIDO,EXELTIS,NO REGULADO
DESOGESTRE,SOLIDO,ANDROMACO,NO REGULADO
DESOGESTRE,SOLIDO,SYNTHESIS,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,BIOSANO,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,CAMBRIDGE,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,ADS PHARMA,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO,PFIZER,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
DEXMEDETOMIDIN,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
DIENOGES,SOLIDO,GADOR,NO REGULADO
DIENOGES,SOLIDO,EUROFARMA,NO REGULADO
DIENOGES,SOLIDO,EXELTIS,NO REGULADO
DIENOGES,SOLIDO,ANDROMACO,NO REGULADO
DIENOGES,SOLIDO,LAFRANCOL,NO REGULADO
DIENOGES,SOLIDO,BAYER,NO REGULADO
DIMETILFUMARAT,SOLIDO,BIOGEN,NO REGULADO
EFAVIREN,SOLIDO,LEGRAND,NO REGULADO
EFAVIREN,SOLIDO,MYLAN,NO REGULADO
EFAVIREN,SOLIDO,SALUSPHARMA,NO REGULADO
EFAVIREN,SOLIDO,HETERO,NO REGULADO
EFAVIREN,SOLIDO,BLUEPHARMA,NO REGULADO
EFAVIREN,SOLIDO,MATPRIFAR,NO REGULADO
EFAVIREN,SOLIDO,PINT PHARMA,NO REGULADO
EFAVIREN,SOLIDO,HUMAX,NO REGULADO
EFAVIREN,SOLIDO,AUROBINDO,NO REGULADO
EFAVIREN,SOLIDO,CIPLA,NO REGULADO
EFAVIREN,SOLIDO,MERCK SHARP DOME,NO REGULADO
ESTRIO,SEMISOLIDO,LAFRANCOL,NO REGULADO
ESTROGENOS CONJUGADO,SEMISOLIDO,CIPLA,NO REGULADO
ESTROGENOS CONJUGADO,SOLIDO,FAES,NO REGULADO
ESZOPICLON,SOLIDO,MOVAMED,NO REGULADO
ESZOPICLON,SOLIDO,EUROFARMA,NO REGULADO
ESZOPICLON,SOLIDO,HETERO,NO REGULADO
ESZOPICLON,SOLIDO,SIEGFRIED,NO REGULADO
ESZOPICLON,SOLIDO,LABINCO,NO REGULADO
ESZOPICLON,SOLIDO,MEGA LABS,NO REGULADO
ESZOPICLON,SOLIDO,BUSSIÉ,NO REGULADO
ESZOPICLON,SOLIDO,ANDROMACO,NO REGULADO
ESZOPICLON,SOLIDO,SYNTHESIS,NO REGULADO
ESZOPICLON,SOLIDO,TECNOQUIMICAS,NO REGULADO
FLUTICASON,LIQUIDO,NOVAMED,NO REGULADO
FLUTICASON,LIQUIDO,LAFRANCOL,NO REGULADO
FLUTICASON,LIQUIDO,BLASKOV,NO REGULADO
FLUTICASON,LIQUIDO,CIPLA,NO REGULADO
FLUTICASON,LIQUIDO,AVALON,NO REGULADO
FORMOTEROL Y FLUTICASON,LIQUIDO,MUNDIPHARMA,NO REGULADO
FORMOTEROL Y MOMETASON,LIQUIDO,MERCK SHARP DOME,NO REGULADO
GADOBUTRO,LIQUIDO/SOLIDO,BAYER,NO REGULADO
GADODIAMID,LIQUIDO/SOLIDO,GE HEALTHCARE,NO REGULADO
GADOTERICO ACID,LIQUIDO/SOLIDO,GUERBET,NO REGULADO
GEFITINI,SOLIDO,LEGRAND,NO REGULADO
GEFITINI,SOLIDO,CIPLA,NO REGULADO
GLATIRAMER ACETAT,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
GLATIRAMER ACETAT,LIQUIDO/SOLIDO,MONTE VERDE,NO REGULADO
GLATIRAMER ACETAT,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
GLATIRAMER ACETAT,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
HIDROXIPROGESTERON,LIQUIDO/SOLIDO,BAYER,NO REGULADO
IDARUCIZUMA,LIQUIDO/SOLIDO,BOEHRINGER,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,BIOSELECT,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,ANTIBIOTICOS DE COLOMBIA,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,NORSTRAY NUART,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,VICAR,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,FARMALOGICA,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
IMIPENEM Y CILASTATIN,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
INDACATEROL Y BROMURO DE GLICOPIRRONI,SOLIDO,NOVARTIS,NO REGULADO
INMUNOGLOBULINA ANTI D (RH,LIQUIDO/SOLIDO,KEDRION,NO REGULADO
INMUNOGLOBULINA HEPATITIS ,LIQUIDO/SOLIDO,GRIFOLS,NO REGULADO
INMUNOGLOBULINA HEPATITIS ,LIQUIDO/SOLIDO,GRIFOLS THERAPEUTICS,NO REGULADO
INMUNOGLOBULINA HEPATITIS ,LIQUIDO/SOLIDO,KEDRION,NO REGULADO
IPRATROPIO BROMUR,LIQUIDO,SYNTHESIS,NO REGULADO
IPRATROPIO BROMUR,LIQUIDO,CIPLA,NO REGULADO
IPRATROPIO BROMUR,LIQUIDO,CHALVER,NO REGULADO
IPRATROPIO BROMUR,LIQUIDO,BIOSYNTEC,NO REGULADO
IPRATROPIO BROMUR,LIQUIDO,TECNOQUIMICAS,NO REGULADO
IXEKIZUMA,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
LABETALO,LIQUIDO/SOLIDO,SERFACAR,NO REGULADO
LABETALO,LIQUIDO/SOLIDO,MEDYSEH,NO REGULADO
LABETALO,LIQUIDO/SOLIDO,LIMINAL,NO REGULADO
LABETALO,LIQUIDO/SOLIDO,RYAN,NO REGULADO
LABETALO,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
LABETALO,LIQUIDO/SOLIDO,BLASKOV,NO REGULADO
"LAMIVUDINA, TENOFOVIR DISOPROXIL Y EFAVIREN",SOLIDO,MYLAN,NO REGULADO
"LAMIVUDINA, TENOFOVIR DISOPROXIL Y EFAVIREN",SOLIDO,CIPLA,NO REGULADO
"LAMIVUDINA, TENOFOVIR DISOPROXIL Y EFAVIREN",SOLIDO,HETERO,NO REGULADO
LINAGLIPTIN,SOLIDO,BOEHRINGER,NO REGULADO
MEDROXIPROGESTERON,SOLIDO,AMERICAN GENERICS,NO REGULADO
MEDROXIPROGESTERONA Y ESTRADIO,LIQUIDO/SOLIDO,AULEN,NO REGULADO
MEDROXIPROGESTERONA Y ESTRADIO,LIQUIDO/SOLIDO,AMERICAN GENERICS,NO REGULADO
MEDROXIPROGESTERONA Y ESTRADIO,LIQUIDO/SOLIDO,PROFAMILIA,NO REGULADO
MERCAPTAMIN,SOLIDO,RECORDATI RARE,NO REGULADO
MERCAPTAMIN,SOLIDO,RECORDATI RARE DISEASES,NO REGULADO
METFORMINA Y DAPAGLIFLOZIN,SOLIDO,ASTRAZENECA,NO REGULADO
METFORMINA Y EMPAGLIFLOZIN,SOLIDO,BOEHRINGER,NO REGULADO
METFORMINA Y VILDAGLIPTIN,SOLIDO,LAFRANCOL,NO REGULADO
METFORMINA Y VILDAGLIPTIN,SOLIDO,MERCK,NO REGULADO
NEPAFENAC,LIQUIDO,SYNTHESIS,NO REGULADO
NEPAFENAC,LIQUIDO,TECNOQUIMICAS,NO REGULADO
NIMOTUZUMA,LIQUIDO/SOLIDO,CIMAB,NO REGULADO
NORETISTERONA Y ESTROGENO (ESTRADIOL,LIQUIDO/SOLIDO,PROFAMILIA,NO REGULADO
NORETISTERONA Y ESTROGENO (ESTRADIOL,LIQUIDO/SOLIDO,PRODUCTOS CIENTIFICOS,NO REGULADO
NORETISTERONA Y ESTROGENO (ESTRADIOL,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
NORETISTERONA Y ESTROGENO (ESTRADIOL,LIQUIDO/SOLIDO,BCN MEDICAL,NO REGULADO
NORETISTERONA Y ETINILESTRADIO,SOLIDO,BAYER,NO REGULADO
NORETISTERONA Y ETINILESTRADIO,SOLIDO,LAFRANCOL,NO REGULADO
NORGESTREL Y ESTROGENO (ESTRADIOL,SOLIDO,BAYER,NO REGULADO
OSIMERTINI,SOLIDO,ASTRAZENECA,NO REGULADO
POMALIDOMID,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
POMALIDOMID,SOLIDO,CELGENE EUROPE,NO REGULADO
POMALIDOMID,SOLIDO,CELGENE,NO REGULADO
PRALATREXAT,LIQUIDO/SOLIDO,MUNDIPHARMA,NO REGULADO
PROGESTERON,SEMISOLIDO,MERCK,NO REGULADO
PROGESTERON,SEMISOLIDO,LAFRANCOL,NO REGULADO
ALGESTONA Y ESTROGENO (ESTRADIOL,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
ALGESTONA Y ESTROGENO (ESTRADIOL,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
PROMESTRIEN,SEMISOLIDO,EUROFARMA,NO REGULADO
ROFLUMILAS,SOLIDO,ASTRAZENECA,NO REGULADO
SALBUTAMO,LIQUIDO,ANGLOPHARMA,NO REGULADO
SALBUTAMO,LIQUIDO,ECAR,NO REGULADO
SALBUTAMO,LIQUIDO,COMERFAR,NO REGULADO
SALBUTAMO,LIQUIDO,LAPROFF,NO REGULADO
SALBUTAMO,LIQUIDO,MEMPHIS,NO REGULADO
SILODOSIN,SOLIDO,MSN,NO REGULADO
SILODOSIN,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,SANOFI,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,HETERO,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,LA SANTE,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,COLMED,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,METLEN PHARMA,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,AMERICAN GENERICS,NO REGULADO
SOLIFENACIN,SOLIDO,XINETIX,NO REGULADO
TALIGLUCERASA ALF,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,VEROS HEALTH,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,RICHMOND,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,CIPLA,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,MYLAN,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,SALUSPHARMA,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,HETERO,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,LEGRAND,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,HUMAX,NO REGULADO
TENOFOVIR DISOPROXI,SOLIDO,GILEAD,NO REGULADO
TIBOLON,SOLIDO,PROCAPS,NO REGULADO
TIOTROPIO BROMUR,LIQUIDO,HETERO,NO REGULADO
TIOTROPIO BROMUR,LIQUIDO,CIPLA,NO REGULADO
TIOTROPIO BROMUR,LIQUIDO,CHALVER,NO REGULADO
TRAMETINI,SOLIDO,NOVARTIS,NO REGULADO
VELAGLUCERASA ALF,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
VILDAGLIPTIN,SOLIDO,WILLOW PHARMA,NO REGULADO
VILDAGLIPTIN,SOLIDO,NOVARTIS,NO REGULADO
VILDAGLIPTIN,SOLIDO,MERCK,NO REGULADO
APALUTAMID,SOLIDO,JANSSEN,NO REGULADO
COBIMETINI,SOLIDO,ROCHE,NO REGULADO
EMICIZUMA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
MIDOSTAURIN,SOLIDO,NOVARTIS,NO REGULADO
RAMUCIRUMA,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
CARGLUTAMICO ACID,SOLIDO,ALATIN RESOURCES,NO REGULADO
CARGLUTAMICO ACID,SOLIDO,RECORDATI RARE,NO REGULADO
BELATACEP,LIQUIDO/SOLIDO,BRISTOL,NO REGULADO
BILASTIN,SOLIDO,FAES,NO REGULADO
DARUNAVIR + RITONAVI,SOLIDO,THE LABS,NO REGULADO
DACLATASVI,SOLIDO,BRISTOL,NO REGULADO
DACLATASVI,SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
ELBASVIR + GRAZOPREVI,SOLIDO,MERCK,NO REGULADO
SOFOSBUVIR + LEDIPASVI,SOLIDO,GILEAD,NO REGULADO
ACIDO TIOCTIC,SOLIDO,NUTRA BIOTICS,NO REGULADO
ACIDO TIOCTIC,SOLIDO,LAFRANCOL,NO REGULADO
ACIDO TIOCTIC,SOLIDO,WORWAG,NO REGULADO
ACIDO TIOCTIC,SOLIDO,BAWISS,NO REGULADO
ACIDO TIOCTIC,SOLIDO,PROCAPS,NO REGULADO
ACIDO TIOCTIC,SOLIDO,MERCK,NO REGULADO
BRIMONIDINA + BRINZOLAMID,LIQUIDO,SYNTHESIS,NO REGULADO
BENRALIZUMA,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
DUPILUMA,LIQUIDO/SOLIDO,SANOFI,NO REGULADO
ISAVUCONAZO,SOLIDO,BIOTOSCANA,NO REGULADO
ISAVUCONAZO,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
MEPOLIZUMA,LIQUIDO/SOLIDO,GSK,NO REGULADO
ELIGLUSTA,SOLIDO,GENZYME,NO REGULADO
DURVALUMA,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
GUSELKUMA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
ECALANTID,LIQUIDO/SOLIDO,PINT,NO REGULADO
HIDROSMI,SOLIDO,FAES,NO REGULADO
DIOSMI,SOLIDO,INNOTHERA,NO REGULADO
OCRELIZUMA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
AMISULPRID,SOLIDO,SANOFI,NO REGULADO
ACIDO CÓLIC,SOLIDO,UNO HEALTHCARE,NO REGULADO
ACIDO CÓLIC,SOLIDO,CTRS,NO REGULADO
ACIDO HIALURONIC,LIQUIDO/SOLIDO,FIDIA,NO REGULADO
ACIDO HIALURONIC,LIQUIDO/SOLIDO,BIO TECHNOLOGY,NO REGULADO
ACIDO HIALURONIC,LIQUIDO/SOLIDO,MYLAN,NO REGULADO
ACIDO HIALURONIC,LIQUIDO/SOLIDO,SOPHIA,NO REGULADO
ACIDO HIALURONIC,LIQUIDO/SOLIDO,MEIJI SEIKA,NO REGULADO
ACIDO HIALURONICO + CONDROITIN,LIQUIDO,SYNTHESIS,NO REGULADO
ADENOSIN,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
ADENOSIN,LIQUIDO/SOLIDO,TROIKAA,NO REGULADO
ADENOSIN,LIQUIDO/SOLIDO,SETAA,NO REGULADO
