NOMBRE DEL PRODUCTO FARMACÉUTIC,TIPO DE FÁRMACO,Nombre del laboratorio ofertante,Estado,Principio activo o asociación de principios activos,Tratamiento de larga duración
DERMOFIX,MEDICAMENTO ETICA,FERRER INTERNACIONAL S.A.,ALTA,SERTACONAZOL NITRATO,NO
ZALAIN CREMA ,MEDICAMENTO ETICA,FERRER INTERNACIONAL S.A.,ALTA,SERTACONAZOL NITRATO,NO
ONDANSETRON TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,ONDANSETRON HIDROCLORURO DIHIDRATO,NO
CARVEDILOL TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,CARVEDILOL,SI
HEXVIX,MEDICAMENTO ETICA,PHOTOCURE ASA,ALTA,HEXAMINOLEVULINICO HIDROCLORURO,NO
RISPERIDONA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,RISPERIDONA,NO
PAROXETINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,PAROXETINA  HIDROCLORURO,NO
ABILIFY,MEDICAMENTO ETICA,"OTSUKA PHARMACEUTICAL, S.A.",ALTA,ARIPIPRAZOL,NO
ALPRAZOLAM ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,ALPRAZOLAM,NO
BUDESONIDA ALDO-UNION,MEDICAMENTO ETICA,"ALDO-UNION, S.L.",ALTA,BUDESONIDA,SI
ZYPREXA VELOTAB,MEDICAMENTO ETICA,LILLY S.A.,ALTA,OLANZAPINA,NO
PAROXETINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,PAROXETINA  HIDROCLORURO,NO
ACREL,MEDICAMENTO ETICA,THERAMEX  IRELAND LIMITED,ALTA,RISEDRONATO SODIO,NO
MIRTAZAPINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,MIRTAZAPINA,NO
PULMICORT TURBUHALER,MEDICAMENTO ETICA,"ASTRAZENECA FARMACEUTICA SPAIN, S.A",ALTA,BUDESONIDA,SI
AFLOYAN,MEDICAMENTO ETICA,ALTER S.A.,ALTA,MIRTAZAPINA,NO
DEFLAZACORT STADA,MEDICAMENTO GENERICO,"STADA, S.L",BAJA POR NO COMERCIALIZAR,DEFLAZACORT,SI
NEOSTIGMINA BRAUN,MEDICAMENTO ETICA,B. BRAUN MEDICAL S.A.,ALTA,NEOSTIGMINA METILSULFATO,NO
APIDRA,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",ALTA,INSULINA GLULISINA,SI
ADOLONTA,MEDICAMENTO ETICA,"GRÜNENTHAL PHARMA, S.A",ALTA,TRAMADOL HIDROCLORURO,NO
RISPERIDONA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,RISPERIDONA,NO
CEFTAZIDIMA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,CEFTAZIDIMA PENTAHIDRATO,NO
BISOPROLOL TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,BISOPROLOL HEMIFUMARATO,SI
MIRTAZAPINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,MIRTAZAPINA,NO
MIRTAZAPINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,MIRTAZAPINA,NO
ACIDO ALENDRONICO SEMANAL STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,ALENDRONICO ACIDO,NO
DUROGESIC MATRIX,MEDICAMENTO ETICA,JANSSEN CILAG S.A.,ALTA,FENTANILO,NO
MIRTAZAPINA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,MIRTAZAPINA,NO
PRAMIPEXOL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,PRAMIPEXOL,NO
BRONCORAL NEO,MEDICAMENTO ETICA,"CHIESI ESPAÑA, S.A.U.",ALTA,FORMOTEROL FUMARATO DIHIDRATO,SI
FINASTERIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA POR NO COMERCIALIZAR,FINASTERIDA,NO
MICETAL,MEDICAMENTO ETICA,LABORATORIOS ERN S.A.,ALTA,FLUTRIMAZOL,NO
FLUOXETINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,FLUOXETINA HIDROCLORURO,NO
ALFUZOSINA ZENTIVA,MEDICAMENTO GENERICO,ZENTIVA KS,BAJA GENERAL,ALFUZOSINA HIDROCLORURO,NO
GLIMEPIRIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,GLIMEPIRIDA,NO
IRBESARTAN SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,IRBESARTAN,NO
GLIMEPIRIDA ZENTIVA,MEDICAMENTO GENERICO,ZENTIVA KS,BAJA GENERAL,GLIMEPIRIDA,NO
IRBESARTAN/HIDROCLOROTIAZIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"IRBESARTAN,HIDROCLOROTIAZIDA",NO
METFORMINA PHARMAKERN,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",BAJA GENERAL,METFORMINA HIDROCLORURO,NO
MIRTAZAPINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,MIRTAZAPINA,NO
IBUPROFENO GINELADIUS,MEDICAMENTO GENERICO,"LABORATORIOS FARMACEUTICOS  ROVI, S.A.",ALTA,IBUPROFENO,NO
KONAKION,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,FITOMENADIONA,NO
IRBESARTAN/HIDROCLOROTIAZIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"HIDROCLOROTIAZIDA,IRBESARTAN",NO
IBUPROFENO TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,IBUPROFENO,NO
NATECAL,MEDICAMENTO ETICA,ITALFARMACO S.A.,ALTA,CALCIO CARBONATO,NO
LETROZOL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,LETROZOL,NO
VIRGAN,MEDICAMENTO ETICA,THEA S.A.,ALTA,GANCICLOVIR,NO
LEVOCETIRIZINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,LEVOCETIRIZINA DIHIDROCLORURO,NO
LOSARTAN SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,LOSARTAN POTASICO,SI
IBUPROFENO ALTER GENERICOS,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,IBUPROFENO,NO
LOSARTAN/HIDROCLOROTIAZIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"HIDROCLOROTIAZIDA,LOSARTAN POTASICO",NO
SERTRALINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,SERTRALINA HIDROCLORURO,NO
IBUPROFENO QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,IBUPROFENO,NO
FINASTERIDA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,FINASTERIDA,NO
FINASTERIDA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,FINASTERIDA,NO
NOVOPULM NOVOLIZER,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,BUDESONIDA,SI
NOVOPULM NOVOLIZER,MEDICAMENTO ETICA,"MEDA PHARMA, S.L",BAJA POR NO COMERCIALIZAR,BUDESONIDA,SI
PRAVASTATINA ACTAVIS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,PRAVASTATINA SODICA,SI
CITALOPRAM SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,CITALOPRAM HIDROBROMURO,NO
RISPERIDONA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,RISPERIDONA,NO
BRAVELLE,MEDICAMENTO ETICA,FERRING S.A.U,BAJA GENERAL,UROFOLITROPINA,NO
RAMIPRIL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,RAMIPRIL,SI
TUSCALMAN,MEDICAMENTO ETICA,"DESMA LABORATORIO FARMACEUTICO, S.L.",ALTA,NOSCAPINA HIDROCLORURO,NO
EFORTIL,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",BAJA GENERAL,"ETILEFRINA,  HIDROCLORURO DE",NO
LAMOTRIGINA MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,LAMOTRIGINA,SI
LAMOTRIGINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,LAMOTRIGINA,SI
LAMOTRIGINA BEXAL,MEDICAMENTO GENERICO,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,LAMOTRIGINA,SI
TOPIRAMATO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,TOPIRAMATO,NO
PROCORALAN,MEDICAMENTO ETICA,SERVIER S.L.,ALTA,IVABRADINA,NO
GABAPENTINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,GABAPENTINA,SI
TAMSULOSINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,TAMSULOSINA HIDROCLORURO,NO
SIMVASTATINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,SIMVASTATINA,SI
REPAGLINIDA AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,REPAGLINIDA,NO
RISPERIDONA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,RISPERIDONA,NO
RISPERIDONA ARISTO ,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,RISPERIDONA,NO
ATORVASTATINA AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,ATORVASTATINA,NO
LAMOTRIGINA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,LAMOTRIGINA,SI
KLACID,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,CLARITROMICINA,NO
ATORVASTATINA AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,ATORVASTATINA CALCICA TRIHIDRATO,NO
FINASTERIDA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,FINASTERIDA,NO
TAMSULOSINA RATIOPH,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,TAMSULOSINA HIDROCLORURO,NO
TAMSULOSINA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,TAMSULOSINA HIDROCLORURO,NO
TAMSULOSINA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,TAMSULOSINA HIDROCLORURO,NO
PARIZAC,MEDICAMENTO ETICA,"LACER,S.A.",ALTA,OMEPRAZOL,NO
OFTALMOWELL ,MEDICAMENTO ETICA,"TEOFARMA, S.R.L",ALTA,"POLIMIXINA B SULFATO,NEOMICINA,GRAMICIDINA",NO
GLIMEPIRIDA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,GLIMEPIRIDA,NO
CETIRIZINA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,CETIRIZINA HIDROCLORURO,NO
GLIMEPIRIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,GLIMEPIRIDA,NO
IBUPROFENO STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,IBUPROFENO,NO
CLORURO SODICO,MEDICAMENTO ETICA,"TECSOLPAR, S.A",ALTA,SODIO CLORURO,NO
RINGER LACTATO TECSOLPAR,MEDICAMENTO ETICA,"TECSOLPAR, S.A",ALTA,"SODIO CLORURO,LACTATO SODIO,CALCIO CLORURO DIHIDRATO,CLORURO DE POTASIO",NO
RINGER LACTATO TECSOLPAR,MEDICAMENTO ETICA,"TECSOLPAR, S.A",ALTA,"CLORURO DE POTASIO,SODIO CLORURO,LACTATO SODIO,CALCIO CLORURO DIHIDRATO",NO
GLIMEPIRIDA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,GLIMEPIRIDA,NO
TAMSULOSINA EDIGEN,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,TAMSULOSINA HIDROCLORURO,NO
IGANTIBE,MEDICAMENTO ETICA,INSTITUTO GRIFOLS S.A.,ALTA,INMUNOGLOBULINA HUMANA ANTIHEPATITIS B,NO
OMEPRAZOL ARISTO,MEDICAMENTO ETICA,"ARISTO PHARMA IBERIA, S.L.",ALTA,OMEPRAZOL,NO
IBUPROFENO CINFAMED,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,IBUPROFENO,NO
TAMSULOSINA VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,TAMSULOSINA HIDROCLORURO,NO
VANCOMICINA SALA,MEDICAMENTO GENERICO,REIG JOFRE S.A.,BAJA POR NO COMERCIALIZAR,VANCOMICINA HIDROCLORURO,NO
GLUCOSALINO HIPERTONICO TECSOLPAR SOLUCION PARA PERFUSION,MEDICAMENTO ETICA,"TECSOLPAR, S.A",ALTA,"GLUCOSA,SODIO CLORURO",NO
GLUCOSALINO HIPERTONICO TECSOLPAR SOLUCION PARA PERFUSION,MEDICAMENTO ETICA,"TECSOLPAR, S.A",ALTA,"SODIO CLORURO,GLUCOSA",NO
FIDIUM COMPRIMIDOS ,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",SUSPENSION TEMPORAL GENERAL,BETAHISTINA HIDROCLORURO,NO
TAMSULOSINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,TAMSULOSINA HIDROCLORURO,NO
ACIDO ALENDRONICO SEMANAL VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ALENDRONICO ACIDO,NO
TORASEMIDA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,TORASEMIDA,SI
LAMOTRIGINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,LAMOTRIGINA,SI
PANTOPRAZOL MADAUS,MEDICAMENTO GENERICO,"MEDA PHARMA, S.L",BAJA GENERAL,PANTOPRAZOL SODICO,NO
PARACETAMOL ALTER,MEDICAMENTO GENERICO,ALTER S.A.,BAJA GENERAL,PARACETAMOL,NO
FLUDETEN,MEDICAMENTO ETICA,ALTER S.A.,ALTA,"PARACETAMOL,CODEINA FOSFATO",NO
TAMSULOSINA ZENTIVA,MEDICAMENTO GENERICO,ZENTIVA KS,BAJA GENERAL,TAMSULOSINA HIDROCLORURO,NO
AZITROMICINA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,AZITROMICINA,NO
TAMSULOSINA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,TAMSULOSINA HIDROCLORURO,NO
LAMOTRIGINA TEVAGEN,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LAMOTRIGINA,SI
LANSOPRAZOL TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,LANSOPRAZOL,NO
MELOXICAM UR,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,MELOXICAM,NO
SEREGRA,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",BAJA GENERAL,CITALOPRAM,NO
MICLAST,MEDICAMENTO GENERICO,PIERRE FABRE IBERICA S.A.,BAJA GENERAL,CICLOPIROX OLAMINA,NO
NORMOTRIDE,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,CARVEDILOL,SI
PRAVASTATINA APOTEX,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,PRAVASTATINA SODICA,SI
SIMVASTATINA SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,SIMVASTATINA,SI
NITROFIX,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,NITROGLICERINA,SI
CORLENTOR,MEDICAMENTO ETICA,DANVAL S.A.,ALTA,IVABRADINA,NO
FINASTERIDA MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",SUSPENSION TEMPORAL GENERAL,FINASTERIDA,NO
CANDIFIX,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,FLUCONAZOL,NO
CITALOPRAM STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,CITALOPRAM HIDROBROMURO,NO
LORATADINA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,LORATADINA,NO
CANDIFIX,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",BAJA POR NO COMERCIALIZAR,FLUCONAZOL,NO
TERRAMICINA POMADA TOPICA,MEDICAMENTO ETICA,"FARMASIERRA LABORATORIOS, S.L.",ALTA,"OXITETRACICLINA HIDROCLORURO,POLIMIXINA B SULFATO",NO
COLPOTROFIN,MEDICAMENTO ETICA,THERAMEX  IRELAND LIMITED,ALTA,PROMESTRIENO,NO
ARATRO,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,AZITROMICINA DIHIDRATO,NO
ARAPRIDE,MEDICAMENTO ETICA,"ARAFARMA GROUP, S.A",ALTA,OMEPRAZOL,NO
ARAPRIDE,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,OMEPRAZOL,NO
HIPOARTEL PLUS,MEDICAMENTO ETICA,"FAES FARMA, S.A.",ALTA,"ENALAPRIL MALEATO,HIDROCLOROTIAZIDA",NO
ENALAPRIL HIDROCLOROT LASA,MEDICAMENTO GENERICO,"FAES FARMA, S.A.",ALTA,"HIDROCLOROTIAZIDA,ENALAPRIL MALEATO",NO
HIPOARTEL,MEDICAMENTO ETICA,"FAES FARMA, S.A.",ALTA,ENALAPRIL MALEATO,SI
ARAPAXEL,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",BAJA POR NO COMERCIALIZAR,PAROXETINA  HIDROCLORURO,NO
ARALEVO,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,LEVOCETIRIZINA DIHIDROCLORURO,NO
PRAVASTATINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,PRAVASTATINA SODICA,SI
SIMVASTATINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,SIMVASTATINA,SI
ARAHORMO,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",BAJA GENERAL,FINASTERIDA,NO
CLARITROMICINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,CLARITROMICINA,NO
AZITROMICINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,AZITROMICINA,NO
AZITROMICINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,AZITROMICINA DIHIDRATO,NO
CITALOPRAM ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,CITALOPRAM HIDROBROMURO,NO
ARAFAXINA RETARD,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",BAJA POR NO COMERCIALIZAR,VENLAFAXINA  HIDROCLORURO,NO
SERTRALINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,SERTRALINA HIDROCLORURO,NO
CAPTOPRIL MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",BAJA GENERAL,CAPTOPRIL,SI
CITALOPRAM MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,CITALOPRAM HIDROBROMURO,NO
FAMOTIDINA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,FAMOTIDINA,NO
RISPERIDONA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",BAJA POR NO COMERCIALIZAR,RISPERIDONA,NO
ARACENAC,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,ACECLOFENACO,NO
FLUOXETINA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,FLUOXETINA,NO
ENALAPRIL MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",BAJA GENERAL,ENALAPRIL MALEATO,SI
PRITADOL,MEDICAMENTO ETICA,ALTER S.A.,ALTA,PRAVASTATINA SODICA,SI
TERAZOSINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,TERAZOSINA,SI
LANSOPRAZOL ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,LANSOPRAZOL,NO
DICLOFENACO ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,DICLOFENACO SODICO,NO
DEFLAZACORT ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,DEFLAZACORT,SI
ARACALM,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",BAJA POR NO COMERCIALIZAR,AMISULPRIDA,NO
DOXAZOSINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,DOXAZOSINA MESILATO,SI
DOXAZOSINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,DOXAZOSINA,SI
TICLOPIDINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,BAJA GENERAL,TICLOPIDINA HIDROCLORURO,NO
CAPTOPRIL ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,CAPTOPRIL,SI
ATENOLOL ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,ATENOLOL,NO
RANITIDINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,BAJA GENERAL,RANITIDINA HIDROCLORURO,NO
CETIRIZINA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,CETIRIZINA DIHIDROCLORURO,NO
ALASTINA,MEDICAMENTO ETICA,"UXAFARMA, S.A.",ALTA,EBASTINA,NO
OMEPRAZOL KORHISPANA,MEDICAMENTO GENERICO,"KORHISPANA, S.L",ALTA,OMEPRAZOL,NO
AZITROMICINA AUXIL,MEDICAMENTO GENERICO,"VEGAL FARMACEUTICA, S.L.",ALTA,AZITROMICINA DIHIDRATO,NO
AZITROMICINA RATIOPHARM,MEDICAMENTO GENERICO,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,AZITROMICINA DIHIDRATO,NO
BISOPROLOL RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,BISOPROLOL HEMIFUMARATO,SI
CAPTOPRIL RATIOPHARM,MEDICAMENTO GENERICO,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,CAPTOPRIL,SI
HALOPERIDOL PRODES GOTAS ORALES,MEDICAMENTO ETICA,"KERN PHARMA, S.L.",ALTA,HALOPERIDOL,NO
CAPTOPRIL/HIDROCLO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"HIDROCLOROTIAZIDA,CAPTOPRIL",NO
CETIRIZINA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,CETIRIZINA DIHIDROCLORURO,NO
CITALOPRAM RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,CITALOPRAM HIDROBROMURO,NO
CITALOPRAM RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,CITALOPRAM HIDROBROMURO,NO
CITALOPRAM RATIOPHARM,MEDICAMENTO GENERICO,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,CITALOPRAM HIDROBROMURO,NO
PROCTOSTEROID AEROSOL  ESPUMA ,MEDICAMENTO ETICA,"ALDO-UNION, S.L.",ALTA,TRIAMCINOLONA DIACETATO,NO
ENALAPRIL RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,ENALAPRIL MALEATO,SI
ENALAPRIL/HIDROCLOR RATIOPH,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"ENALAPRIL MALEATO,HIDROCLOROTIAZIDA",NO
GABAPENTINA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,GABAPENTINA,SI
BENTIFEN,MEDICAMENTO ETICA,THEA S.A.,ALTA,KETOTIFENO FUMARATO,NO
IBUPROFENO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,IBUPROFENO,NO
LANSOPRAZOL RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LANSOPRAZOL,NO
LORATADINA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LORATADINA,NO
MIRTAZAPINA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,MIRTAZAPINA,NO
ECOTAM,MEDICAMENTO ETICA,"SESDERMA, S.L.",BAJA GENERAL,ECONAZOL NITRATO,NO
PAROXETINA RATIOPHARM,MEDICAMENTO GENERICO,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,PAROXETINA  HIDROCLORURO,NO
TRAMADOL ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,TRAMADOL HIDROCLORURO,NO
ALFADINA,MEDICAMENTO ETICA,"BAUSCH AND LOMB, S.A",BAJA GENERAL,BRIMONIDINA TARTRATO,NO
SIMVASTATINA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,SIMVASTATINA,SI
SIMVASTATINA KERN,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,SIMVASTATINA,SI
BONVIVA,MEDICAMENTO ETICA,ATNAHS PHARMA NETHERLANDS B.V.,ALTA,IBANDRONICO ACIDO,NO
AEROFLAT ,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"METOCLOPRAMIDA,DIMETICONA",NO
COLESVIR,MEDICAMENTO ETICA,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,LOVASTATINA,SI
AMLODIPINO CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,AMLODIPINO BESILATO,SI
IBUPROFENO ALDO-UNION,MEDICAMENTO GENERICO,"ALDO-UNION, S.L.",ALTA,IBUPROFENO,NO
DENVAR,MEDICAMENTO ETICA,"MERCK, S.L",ALTA,CEFIXIMA TRIHIDRATO,NO
DARAPRIM,MEDICAMENTO ETICA,"SMITHKLINE BEECHAM FARMA, S.A.",ALTA,PIRIMETAMINA,NO
ARAPRIDE,MEDICAMENTO ETICA,"ARAFARMA GROUP, S.A",BAJA POR NO COMERCIALIZAR,OMEPRAZOL,NO
